,IV30,46.02,Yrly,134.1702031,,,,,,,,,,,,,,
,HV30,56.5,,164.724391,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Days to Exp,Spot Date,Spot Price,Expiration Date,Symbol,Intrinsic Value,Last,Chg,Bid,Ask,Volume,Open Int,Delta,Gamma,Vega,Theta,Strike,,IV Calc
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C105,3.12,8.1,0.86,7,7.85,284,1168,0.6103,0.025,0.1171,-0.1018,105,7.93668942,
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C106,2.12,7.26,0.57,6.15,8.05,183,381,0.5846,0.0254,0.119,-0.1034,106,7.6520638,
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C107,1.12,7,0.72,5.85,6.9,743,896,0.5587,0.0259,0.1202,-0.104,107,#NAME?,3.596921797
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C108,0.12,6.1,0.35,5.5,6.2,346,1179,0.5325,0.0262,0.1212,-0.1042,108,,
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C109,0,5.7,0.35,5.5,5.7,428,925,0.5063,0.0264,0.1218,-0.1043,109,12.224736,
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C110,0,5.15,0.22,5.05,5.25,3429,38899,0.4796,0.0266,0.1216,-0.1031,110,,
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C111,0,4.74,0.34,4.05,5.4,783,1246,0.4535,0.0265,0.1209,-0.1023,111,,
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C112,0,4.35,0.39,4.25,4.35,243,1435,0.4276,0.0263,0.1197,-0.101,112,,
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C113,0,3.95,0.3,2.59,3.95,280,986,0.4016,0.0261,0.1181,-0.0988,113,,
28,9/25/2020,$108.12 ,10/23/2020,AAPL201023C114,0,3.55,0.25,2,3.6,227,968,0.376,0.0258,0.1159,-0.0962,114,,
